                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     45 | 4.50% |    351 | 3.51% |   3342 | 3.34% |  34253 | 3.43% 
Mediterranean Avenue  |     22 | 2.20% |    262 | 2.62% |   2337 | 2.34% |  23961 | 2.40% 
Community Chest       |     23 | 2.30% |    242 | 2.42% |   2400 | 2.40% |  23882 | 2.39% 
Baltic Avenue         |     32 | 3.20% |    232 | 2.32% |   2396 | 2.40% |  24023 | 2.40% 
Income Tax            |     26 | 2.60% |    240 | 2.40% |   2595 | 2.60% |  26198 | 2.62% 
Reading Railroad      |     24 | 2.40% |    338 | 3.38% |   3462 | 3.46% |  33403 | 3.34% 
Oriental Avenue       |     26 | 2.60% |    254 | 2.54% |   2568 | 2.57% |  25613 | 2.56% 
Chance                |     32 | 3.20% |    272 | 2.72% |   2626 | 2.63% |  26224 | 2.62% 
Vermont Avenue        |     22 | 2.20% |    264 | 2.64% |   2571 | 2.57% |  26093 | 2.61% 
Connecticut Avenue    |     22 | 2.20% |    255 | 2.55% |   2645 | 2.65% |  25896 | 2.59% 
Jail                  |     67 | 6.70% |    587 | 5.87% |   6159 | 6.16% |  60601 | 6.06% 
St. Charles Place     |     36 | 3.60% |    310 | 3.10% |   2998 | 3.00% |  30427 | 3.04% 
Electric Company      |     27 | 2.70% |    284 | 2.84% |   2910 | 2.91% |  28469 | 2.85% 
States Avenue         |     25 | 2.50% |    250 | 2.50% |   2424 | 2.42% |  24861 | 2.49% 
Virginia Avenue       |     16 | 1.60% |    252 | 2.52% |   2416 | 2.42% |  24897 | 2.49% 
Pennsylvania Railroad |     23 | 2.30% |    282 | 2.82% |   2932 | 2.93% |  28463 | 2.85% 
St. James Place       |     31 | 3.10% |    248 | 2.48% |   2508 | 2.51% |  25346 | 2.53% 
Community Chest       |     18 | 1.80% |    267 | 2.67% |   2514 | 2.51% |  25410 | 2.54% 
Tennessee Avenue      |     26 | 2.60% |    285 | 2.85% |   2660 | 2.66% |  25663 | 2.57% 
New York Avenue       |     26 | 2.60% |    271 | 2.71% |   2757 | 2.76% |  27496 | 2.75% 
Free Parking          |     31 | 3.10% |    262 | 2.62% |   2618 | 2.62% |  25540 | 2.55% 
Kentucky Avenue       |     31 | 3.10% |    229 | 2.29% |   2506 | 2.51% |  25511 | 2.55% 
Chance                |     19 | 1.90% |    238 | 2.38% |   2556 | 2.56% |  25404 | 2.54% 
Indiana Avenue        |     27 | 2.70% |    256 | 2.56% |   2485 | 2.49% |  25101 | 2.51% 
Illinois Avenue       |     28 | 2.80% |    311 | 3.11% |   3017 | 3.02% |  30231 | 3.02% 
B. & O. Railroad      |     25 | 2.50% |    277 | 2.77% |   2738 | 2.74% |  28241 | 2.82% 
Atlantic Avenue       |     27 | 2.70% |    244 | 2.44% |   2497 | 2.50% |  25080 | 2.51% 
Ventnor Avenue        |     29 | 2.90% |    269 | 2.69% |   2420 | 2.42% |  24672 | 2.47% 
Water Works           |     24 | 2.40% |    270 | 2.70% |   2655 | 2.66% |  26160 | 2.62% 
Marvin Gardens        |     21 | 2.10% |    237 | 2.37% |   2470 | 2.47% |  24278 | 2.43% 
Go To Jail            |     24 | 2.40% |    223 | 2.23% |   2505 | 2.51% |  24941 | 2.49% 
Pacific Avenue        |     22 | 2.20% |    246 | 2.46% |   2542 | 2.54% |  24858 | 2.49% 
North Carolina Avenue |     22 | 2.20% |    228 | 2.28% |   2346 | 2.35% |  24857 | 2.49% 
