                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     36 | 3.60% |    355 | 3.55% |   3402 | 3.40% |  34010 | 3.40% 
Mediterranean Avenue  |     18 | 1.80% |    243 | 2.43% |   2364 | 2.36% |  23854 | 2.39% 
Community Chest       |     28 | 2.80% |    229 | 2.29% |   2402 | 2.40% |  23917 | 2.39% 
Baltic Avenue         |     31 | 3.10% |    226 | 2.26% |   2379 | 2.38% |  24226 | 2.42% 
Income Tax            |     23 | 2.30% |    261 | 2.61% |   2639 | 2.64% |  26353 | 2.64% 
Reading Railroad      |     39 | 3.90% |    343 | 3.43% |   3358 | 3.36% |  33611 | 3.36% 
Oriental Avenue       |     25 | 2.50% |    289 | 2.89% |   2553 | 2.55% |  25474 | 2.55% 
Chance                |     26 | 2.60% |    251 | 2.51% |   2665 | 2.67% |  26179 | 2.62% 
Vermont Avenue        |     27 | 2.70% |    243 | 2.43% |   2686 | 2.69% |  26089 | 2.61% 
Connecticut Avenue    |     17 | 1.70% |    250 | 2.50% |   2555 | 2.56% |  25840 | 2.58% 
Jail                  |     67 | 6.70% |    582 | 5.82% |   6022 | 6.02% |  60921 | 6.09% 
St. Charles Place     |     37 | 3.70% |    300 | 3.00% |   3051 | 3.05% |  30226 | 3.02% 
Electric Company      |     31 | 3.10% |    292 | 2.92% |   2926 | 2.93% |  28626 | 2.86% 
States Avenue         |     26 | 2.60% |    276 | 2.76% |   2503 | 2.50% |  24800 | 2.48% 
Virginia Avenue       |     20 | 2.00% |    243 | 2.43% |   2529 | 2.53% |  24666 | 2.47% 
Pennsylvania Railroad |     27 | 2.70% |    282 | 2.82% |   2858 | 2.86% |  28383 | 2.84% 
St. James Place       |     22 | 2.20% |    232 | 2.32% |   2501 | 2.50% |  25275 | 2.53% 
Community Chest       |     30 | 3.00% |    268 | 2.68% |   2511 | 2.51% |  25542 | 2.55% 
Tennessee Avenue      |     26 | 2.60% |    246 | 2.46% |   2621 | 2.62% |  25727 | 2.57% 
New York Avenue       |     23 | 2.30% |    270 | 2.70% |   2684 | 2.68% |  27499 | 2.75% 
Free Parking          |     30 | 3.00% |    278 | 2.78% |   2627 | 2.63% |  25756 | 2.58% 
Kentucky Avenue       |     24 | 2.40% |    223 | 2.23% |   2561 | 2.56% |  25428 | 2.54% 
Chance                |     28 | 2.80% |    242 | 2.42% |   2536 | 2.54% |  25231 | 2.52% 
Indiana Avenue        |     30 | 3.00% |    253 | 2.53% |   2515 | 2.51% |  25168 | 2.52% 
Illinois Avenue       |     26 | 2.60% |    328 | 3.28% |   3043 | 3.04% |  30263 | 3.03% 
B. & O. Railroad      |     28 | 2.80% |    269 | 2.69% |   2665 | 2.67% |  28115 | 2.81% 
Atlantic Avenue       |     28 | 2.80% |    269 | 2.69% |   2458 | 2.46% |  24805 | 2.48% 
Ventnor Avenue        |     30 | 3.00% |    237 | 2.37% |   2457 | 2.46% |  24670 | 2.47% 
Water Works           |     21 | 2.10% |    263 | 2.63% |   2650 | 2.65% |  26502 | 2.65% 
Marvin Gardens        |     23 | 2.30% |    254 | 2.54% |   2429 | 2.43% |  24244 | 2.42% 
Go To Jail            |     29 | 2.90% |    225 | 2.25% |   2499 | 2.50% |  24795 | 2.48% 
Pacific Avenue        |     22 | 2.20% |    236 | 2.36% |   2434 | 2.43% |  24733 | 2.47% 
North Carolina Avenue |     18 | 1.80% |    247 | 2.47% |   2482 | 2.48% |  24858 | 2.49% 
Community Chest       |     31 | 3.10% |    272 | 2.72% |   2715 | 2.72% |  26539 | 2.65% 
Pennsylvania Avenue   |     24 | 2.40% |    267 | 2.67% |   2503 | 2.50% |  24719 | 2.47% 
Short Line            |     28 | 2.80% |    260 | 2.60% |   2425 | 2.43% |  25204 | 2.52% 
Chance                |     32 | 3.20% |    247 | 2.47% |   2520 | 2.52% |  24985 | 2.50% 
Park Place            |     20 | 2.00% |    247 | 2.47% |   2485 | 2.49% |  24553 | 2.46% 
Luxury Tax            |     23 | 2.30% |    234 | 2.34% |   2398 | 2.40% |  24467 | 2.45% 
Boardwalk             |     21 | 2.10% |    287 | 2.87% |   3029 | 3.03% |  29389 | 2.94% 


